2022-05-18 22:05:106 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:267 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (f405d8e7f636a6ad330754c783fe2f2c)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 22:05:749 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (f405d8e7f636a6ad330754c783fe2f2c)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 22:05:971 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:757 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (1861c3ce36fbe1415a5c89ac73e32ae7)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 22:05:487 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (1861c3ce36fbe1415a5c89ac73e32ae7)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 22:05:874 INFO  Carsguide :41 - Selecting anymakeAudi from dropdown [[ChromeDriver: chrome on WINDOWS (1861c3ce36fbe1415a5c89ac73e32ae7)] -> xpath: //select[@id='makes']]<br>
2022-05-18 22:05:995 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:445 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (9d364ba7bf4aacd43572050213e0af4d)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 22:05:145 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (9d364ba7bf4aacd43572050213e0af4d)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 22:05:435 INFO  Carsguide :41 - Selecting anymakeBMW from dropdown [[ChromeDriver: chrome on WINDOWS (9d364ba7bf4aacd43572050213e0af4d)] -> xpath: //select[@id='makes']]<br>
2022-05-18 22:05:538 INFO  Carsguide :45 - Selecting models Any Model from dropdown [[ChromeDriver: chrome on WINDOWS (9d364ba7bf4aacd43572050213e0af4d)] -> xpath: //select[@id='models']]<br>
2022-05-18 22:05:640 INFO  Carsguide :49 - Selecting NT - North from dropdown [[ChromeDriver: chrome on WINDOWS (9d364ba7bf4aacd43572050213e0af4d)] -> xpath: //select[@id='locations']]<br>
2022-05-18 22:05:756 INFO  Carsguide :53 - Selecting Price $20,000 from dropdown [[ChromeDriver: chrome on WINDOWS (9d364ba7bf4aacd43572050213e0af4d)] -> xpath: //select[@id='priceTo']]<br>
2022-05-18 22:05:128 INFO  Carsguide :57 - Clicking on find my carProxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'<br>
2022-05-18 22:05:150 INFO  Carsguide :60 - getting  text from makes [[ChromeDriver: chrome on WINDOWS (9d364ba7bf4aacd43572050213e0af4d)] -> xpath: //h1[@class='listing-search-title']]<br>
2022-05-18 22:05:949 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:154 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (f70e06b871c3b3cbc3367aa20c694a34)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 22:05:243 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (f70e06b871c3b3cbc3367aa20c694a34)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
